Name_Service,Name_Maschine,AbsatzmengeFaktor,PersonalkostenFaktor,EnergiekostenFaktor,ReparaturkostenProStueckFaktor,MaterialkostenFaktor,WartungskostenFaktor,AbsatzpreisFaktor
Service 1782,Maschine 221,1.4467986575482656,0.9482554898986871,1.005300502505599,0.9849314594395194,0.9844584697455807,0.9935994580821966,1.012562654913304
Service 1550,Maschine 6458,1.169354999168739,0.8553190020093946,0.9804011520312439,0.990235982360519,0.996333660301295,0.9866025390874,0.9612770417014379
Service 9945,Maschine 1643,1.1288684500792272,0.9965708366040266,0.988913898075422,1.0196017911488815,0.9951435472044124,0.9985688707785905,0.9681822063740784
Service 799,Maschine 150,1.264716996157044,0.7513343475317341,1.0025072805248407,1.006099375158519,1.0095075407450034,1.0232782492038681,1.0382230081374186
Service 4218,Maschine 7010,1.192365416901075,0.8753930609027203,1.0183020384803554,0.9963414802308154,1.0152115411575968,0.9901746199037855,0.9927897823128223
Service 9041,Maschine 1564,1.306777973997895,1.0366879223921384,0.9709928013866669,0.9815189651248742,0.9615205294409774,1.0390607366755378,1.0272607765729598
Service 119,Maschine 6849,1.0962662488450834,1.0884726564184501,1.0130774736579533,1.0147747413913513,0.9893384951767199,1.014822227540804,1.0075238226185677
Service 7220,Maschine 125,1.335622995637321,0.8994666663089868,1.009904640977526,1.0053842334019114,0.995214105937372,0.9527333944079072,1.0347079371988124
Service 4634,Maschine 8781,1.042801022792896,0.7941261189361458,0.9799457212203991,1.0368211174618993,1.0099507746102832,1.0132490020433986,0.9767251032746802
Service 7771,Maschine 3369,1.1387281746599585,0.8179613757006972,1.025557415360163,1.0261692420034447,1.010317269617759,0.9896008365679159,0.9715638480860566
Service 4925,Maschine 9274,1.2538571174768525,0.8141030906716271,1.0031307866101453,0.9885553331198396,0.9878098001430349,1.0008497302100003,0.9787190047402328
Service 2704,Maschine 112,1.1039983197948016,0.9841794873213852,1.0338760049358169,1.0132837070322123,0.9850202204647212,0.9915866236551241,0.9961821732754714
Service 6631,Maschine 7819,1.2176998676212323,0.7610993357583681,0.9664325069282722,1.032402741728644,1.0015870825821855,0.993704436953921,0.9538249955871534
Service 4690,Maschine 6053,1.104585286409032,1.0430699104453767,1.025175674486909,1.0177027801883591,0.9664817970813792,0.9861745847745687,0.9793807586088705
