,Name_Service,Name_Maschine,AbsatzmengeFaktor,PersonalkostenFaktor,EnergiekostenFaktor,ReparaturkostenProStueckFaktor,MaterialkostenFaktor,WartungskostenFaktor,AbsatzpreisFaktor,Prediction_Maschine,Prediction_Service
0,Service 1782,Maschine 221,1.4467986575482656,0.9482554898986872,1.005300502505599,0.9849314594395194,0.9844584697455808,0.9935994580821966,1.012562654913304,11,0
1,Service 9757,Maschine 221,1.1398635555047207,0.9532110278718688,1.0208061188206938,0.999655681387633,0.9988646300714378,1.0084862055052215,1.018611779155386,11,6
2,Service 1550,Maschine 6458,1.169354999168739,0.8553190020093946,0.980401152031244,0.990235982360519,0.996333660301295,0.9866025390874,0.961277041701438,14,7
3,Service 1550,Maschine 8390,1.1858628181129574,0.9595733950577086,0.9650159796810732,0.9911514225636509,1.0066585552555205,0.9893017784397842,0.966725556965614,7,7
4,Service 1550,Maschine 8779,1.1547636384980855,0.94535006037869,0.9950946807593984,1.000357341847852,1.011013666337895,1.027051774623355,0.9923236077660628,5,7
5,Service 1550,Maschine 7610,1.1889052663344135,0.9520974925877544,1.008363550759081,1.0010907804702307,1.0269159741676115,1.0023210378716465,1.0153557526204489,7,7
6,Service 7894,Maschine 6458,1.178067710920382,0.99552572089387,1.0053149451128975,1.01400793760316,1.007141368862598,0.994502495384544,1.0023300981556509,14,0
7,Service 7894,Maschine 3123,1.2107922045232526,0.8172482359755527,1.0151102695264005,1.0165175216229687,0.9963449589059172,0.9812450453670502,1.0347789844977622,9,0
8,Service 9945,Maschine 1643,1.1288684500792272,0.9965708366040266,0.988913898075422,1.0196017911488815,0.9951435472044124,0.9985688707785904,0.9681822063740784,17,6
9,Service 9945,Maschine 5609,1.2184633586122904,0.8298420201539025,0.9714236580089568,0.9798875372744856,1.0076233590933448,0.996480780725648,0.9818001386113312,11,6
10,Service 5398,Maschine 1643,1.224787583188653,1.1517301847233592,0.9765764794447858,0.9874224477410304,0.967136395581544,0.9991186621445204,0.9724282844204292,17,0
11,Service 9091,Maschine 1643,1.2223519288970988,0.6798777215813635,1.004823968008447,0.9744945720426128,1.009289437227593,1.0186676670008017,0.9948907731861548,17,10
12,Service 9091,Maschine 2408,1.2098552845022588,1.0484684039195735,0.9881822869872562,1.013947301620506,0.994098783225818,0.9958023428950326,1.0120290173803657,5,10
13,Service 6812,Maschine 1643,1.1357057154943668,0.775880277679675,1.0047703452316408,1.0387710463153292,0.9613539196937424,0.9842681840079082,0.9769755070111766,17,0
14,Service 6812,Maschine 4032,1.0573749369386822,0.9026231473061052,0.9809133391517008,0.9945042321926488,1.024014421945615,1.0043250093325464,0.992139021954464,3,0
15,Service 799,Maschine 150,1.264716996157044,0.7513343475317341,1.0025072805248407,1.006099375158519,1.0095075407450034,1.023278249203868,1.0382230081374186,2,0
16,Service 799,Maschine 7670,1.2192247959391862,0.6658784888372872,0.9947383598154234,1.0019628797329752,0.9890215520810336,0.9876732249876486,0.99395243844903,1,0
17,Service 799,Maschine 3098,1.0152953177153126,0.9607447245665096,1.0238320252592992,0.9815287529804038,1.0026563730482834,0.9609304340577364,1.0412748335904751,9,0
18,Service 5349,Maschine 150,1.2897262852189235,0.8790719750575621,0.9811222411333156,1.032373385684121,1.036498422229596,1.0005565708950492,1.0127302496456456,2,0
19,Service 5349,Maschine 6401,1.2285984941608938,0.9407674983186388,1.004751670557232,0.975266583410216,0.988292979265652,0.9904156578465158,1.0090497204313231,19,0
20,Service 5349,Maschine 8452,1.2437456207848483,0.8979284805384302,1.0156476053510826,0.9856893671698088,0.9816508192964554,1.0043893972575604,1.0092300903726228,15,0
21,Service 9140,Maschine 150,1.1055435126428326,1.0343813471978016,0.9978708948315066,1.003167454641113,0.9736881205152228,1.028993180496029,1.0161824760665106,2,0
22,Service 9140,Maschine 9591,1.0678424735083971,0.878944833711858,0.9881531233069598,1.0128895547871986,1.017609454224364,0.9772684180497728,0.9750826543309116,1,0
