,Name_Service,Name_Maschine,AbsatzmengeFaktor,PersonalkostenFaktor,EnergiekostenFaktor,ReparaturkostenProStueckFaktor,WartungskostenFaktor,AbsatzpreisFaktor,Prediction_Maschine,Prediction_Service
0,Service 528,Maschine 261,1.0752922714439943,0.9542054335544417,0.9935575487741416,1.0338633385797185,0.8784015558277041,0.9993910900060132,15,14
1,Service 528,Maschine 388,1.080360425002758,0.945558228683429,0.8277734128182831,1.0465575095049682,1.0115824168912075,0.954290771970871,11,14
2,Service 528,Maschine 487,1.102784628851452,1.1794093010575613,0.9110459254743912,0.8857588416136668,1.1243757512120525,1.0888512918592863,11,14
3,Service 528,Maschine 718,1.1216618147516433,1.1538781876384665,0.9411552117891948,1.175855121763259,0.8886141137851388,1.0899188817180092,14,14
4,Service 635,Maschine 261,0.9837324352953184,1.2794035542369089,1.0636623013828403,0.9545896489646865,0.9202029879251036,0.9342905304734824,15,0
5,Service 635,Maschine 413,1.0290232366054042,1.1453945774554433,1.1187730292890083,0.9594183048736784,1.069174860270555,0.9350598727753272,13,0
6,Service 442,Maschine 261,1.0785417809577695,0.8598477523466692,0.9994404845005396,0.9235243174594444,0.8921973210797873,0.96760493996504,15,0
7,Service 442,Maschine 318,1.2082320322366955,1.1933287769688443,1.1279843079164615,0.7934039299075716,1.02132908597538,0.9539872656357206,3,0
8,Service 140,Maschine 8,1.2188974035773186,0.9874967991428092,0.8173193926822175,0.9743057274911204,1.0939303642373617,0.8903531840634678,3,0
9,Service 140,Maschine 559,0.9944226600740346,1.3371056036865194,0.9792647849869154,1.0882376466599792,1.2535896657835135,0.8810850427729281,10,0
10,Service 140,Maschine 72,0.9721742886042452,1.1960899047877167,0.9733283848047124,0.9964647575408112,1.0503893580844808,0.9898422604371304,15,0
11,Service 119,Maschine 8,0.9808270948571394,1.0324709204818356,1.0932975874200863,1.1423298776729969,0.9797098993061468,1.1353244643541427,3,5
12,Service 119,Maschine 319,0.8934922807347918,0.9355624188200022,1.073793810397814,1.122356842214712,0.8695623556479699,0.8761630049496987,13,5
13,Service 1,Maschine 8,1.018887848189526,0.9830144417833732,0.966381426366136,1.0444709501974865,0.9259332648351184,0.9274482875275042,3,0
14,Service 1,Maschine 17,0.9725811143021852,0.9386482772458856,1.068304246370694,0.9444727274482064,0.9598985980401578,1.0440775491440777,2,0
15,Service 1,Maschine 804,1.2423386232189495,1.041382235456331,0.9081679774252216,0.9224759312007068,1.2559921727271863,0.9127411677223526,1,0
16,Service 287,Maschine 135,1.163507198838891,0.9858856129739764,0.9126003191564191,1.1477425086734607,0.969690908394478,0.9829835181822864,18,0
17,Service 593,Maschine 135,1.1009191419889903,1.2794360233551656,0.8745095125797197,0.891814267885304,0.7576314055399407,1.1576847376657835,18,1
18,Service 593,Maschine 269,1.1722826460891675,1.2853837613079937,0.8419576402419532,1.0259674139114552,1.0197946780500269,1.106329457888717,3,1
19,Service 376,Maschine 511,1.171572886522811,1.034752433696005,0.920916414804277,1.0980938046991686,0.9794394904306224,0.9815028490654022,3,0
20,Service 376,Maschine 712,1.102788888903084,1.0299685747398433,0.9553266381143022,1.083275187082094,0.905816036689166,1.105056925353124,1,0
21,Service 376,Maschine 424,1.2553143558562685,1.193709767532373,1.1487187402603294,0.8974045391888834,0.8246780650986859,1.0354449790058853,8,0
22,Service 944,Maschine 511,1.101557665840903,1.02162701194622,1.0419771634608124,1.0438314766391672,0.920631233812833,1.0899211329762777,3,0
23,Service 160,Maschine 511,0.943066188083702,1.0214878781883705,1.0511038427084718,0.984802646750815,0.971280336389712,1.0089236927335214,3,5
24,Service 160,Maschine 405,1.0991559693695767,1.0765072625139618,1.0565091028435365,0.9939043028700064,0.9334356102300364,0.8534915012002382,1,5
25,Service 160,Maschine 444,1.141248567659353,1.0128549827385411,0.7935906625792,0.9469312144589136,1.177213090089543,1.0509486879977563,10,5
26,Service 160,Maschine 162,1.0002026167757616,0.9642322247246484,1.1343492045982917,1.0123161229086337,1.058628567393591,1.0565670538936085,13,5
27,Service 337,Maschine 511,1.187233836796634,1.2215099618114122,0.8857823407730185,1.0393132429442855,0.9767601636187864,0.9099310005098428,3,6
28,Service 337,Maschine 505,1.1489653719566986,1.1746875254682645,0.9477723710259294,0.9188774953266357,1.1734977690000572,1.0542631153321729,3,6
29,Service 109,Maschine 245,1.0934588354340162,1.0154156006020676,1.1267740901715515,1.0161249599364135,1.2483876152193445,0.8706723326774224,14,12
30,Service 109,Maschine 786,1.0017319205229993,1.0736812736952044,0.962287552273852,1.0670773246995149,0.9838142043009992,0.8746666759770092,7,12
31,Service 706,Maschine 245,1.0755830273700102,1.2297745159612334,1.054960178561848,0.9712254878819064,1.0318272797900798,1.00029390226887,14,0
32,Service 311,Maschine 201,0.953985080202762,0.9242002800505104,0.8503468123686329,0.94839715006471,1.015820998945147,1.068410350744879,14,0
33,Service 311,Maschine 411,1.083266393818339,0.9330976852528516,1.0448223153468028,0.9562020547225196,0.6932643484579184,1.0812773431017866,15,0
34,Service 311,Maschine 653,1.1096304864155544,1.083202374806506,0.9087998871342332,1.0865756315857318,0.9481157030602,0.9330289460259688,3,0
35,Service 311,Maschine 381,1.1981503479715518,1.268007758198683,0.8986277043959469,0.8758709167461671,1.1161111106834165,1.033645333038676,15,0
36,Service 794,Maschine 201,1.2129261849309216,0.9718735071214888,0.705436256607148,0.9787513996393378,1.0257017177343908,0.995854721653467,14,0
37,Service 794,Maschine 141,1.044979410173433,1.0287399743783625,1.0026793466162545,0.9605360571130912,0.9817721763528532,1.050514084910455,10,0
38,Service 462,Maschine 201,1.0813724324538363,1.163640741809084,1.181052639393454,1.0011408834811233,0.9543226028137588,1.1001465496727456,14,0
39,Service 485,Maschine 65,1.171720165236619,1.2177078896116715,1.1053393198514,1.0646883863089085,1.0172313854926849,0.9691477338258864,15,11
40,Service 485,Maschine 422,0.9973966073119864,1.195247201909102,1.0018361291842144,1.0619382890381095,0.968325106796048,1.050462811330923,14,11
41,Service 390,Maschine 65,1.3070661219404929,1.2173153708833704,0.8178450082050741,1.0047074206351647,1.0523334269804163,0.99368022858812,15,0
42,Service 852,Maschine 138,1.1454698120709126,1.1320998542149463,1.1291083562810906,0.9644718885565836,0.8687202917991055,1.0212253899349324,1,0
43,Service 852,Maschine 598,1.098459407094042,1.21703839263103,0.9110446740037876,0.8874160236870161,1.2572902686848777,0.8939466489115088,15,0
44,Service 168,Maschine 325,1.2934647915703206,1.341131105214259,0.8917658491912389,1.2023463238777137,0.916518350183784,1.1148077665265783,0,0
45,Service 654,Maschine 264,1.204009867290715,1.0274256330741884,1.0227412539235976,0.97354948706999,1.1524203549418952,0.9301544433777462,7,0
46,Service 535,Maschine 264,1.1408235691683573,1.194554532127954,0.9793992825408648,0.9260188652284728,1.1557399028790951,1.097685586992388,7,0
47,Service 833,Maschine 406,1.0037893046885449,1.036149089011461,1.274070646118563,1.1527192586051305,1.0353417013604378,1.1040918428113988,16,3
48,Service 833,Maschine 226,1.2800425646887277,0.8975921054222461,1.117310388397891,1.0182393154981637,0.8631834692791789,1.0483875127435145,13,3
